ID,CATEGORIA,CATEGORIA ALIMENTOS,SUBCATEGORIA,PRESENTACION EMPAQUE,MARCA,NAME, PRECIO ANTES DE GANANCIA CDM , ICONOPET , MARGEN , PRECIO SUGERIDO DE VENTA ,description,presentacion, PRICE ,stock,sku,imageUrl,proveedor,creadoen,actualizadoen
1,GATO,ALIMENTO SECO,DIETA SECA PRESCRITA,BOLSA,BR,BR FOR CAT VET CONTROL DE PESO X 500GR," $20,400.00 ",,,,,500 GR," $20,400.00 ",,300100101,https://www.velykapet.com/productos/alimentos/gatos/BR_FOR_CAT_VET_CONTROL_DE_PESO.jpg,CDM,,
2,GATO,ALIMENTO SECO,DIETA SECA PRESCRITA,BOLSA,BR,BR FOR CAT VET CONTROL DE PESO X 1.5 KG," $58,200.00 ",,,,,1.5 KG," $58,200.00 ",,300100102,https://www.velykapet.com/productos/alimentos/gatos/BR_FOR_CAT_VET_CONTROL_DE_PESO.jpg,CDM,,
3,GATO,ALIMENTO SECO,DIETA SECA PRESCRITA,BOLSA,BR,BR FOR CAT VET CONTROL DE PESO X 3 KG," $110,800.00 ",,,,,3 KG," $110,800.00 ",,300100103,https://www.velykapet.com/productos/alimentos/gatos/BR_FOR_CAT_VET_CONTROL_DE_PESO.jpg,CDM,,
4,GATO,ALIMENTO SECO,DIETA SECA PRESCRITA,BOLSA,BR,BR FOR CAT VET FUNCION RENAL X 500 GR," $20,400.00 ",,,,,500 GR," $20,400.00 ",,300100095,https://www.velykapet.com/productos/alimentos/gatos/BR_FOR_CAT_VET_FUNCION_%20RENAL.webp,CDM,,
5,GATO,ALIMENTO SECO,DIETA SECA PRESCRITA,BOLSA,BR,BR FOR CAT VET FUNCION RENAL X 1.5 KG," $58,200.00 ",,,,,1.5 KG," $58,200.00 ",,300100096,https://www.velykapet.com/productos/alimentos/gatos/BR_FOR_CAT_VET_FUNCION_%20RENAL.webp,CDM,,
6,GATO,ALIMENTO SECO,DIETA SECA PRESCRITA,BOLSA,BR,BR FOR CAT VET FUNCION RENAL X 3KG," $110,800.00 ",,,,,3 KG," $110,800.00 ",,300100097,https://www.velykapet.com/productos/alimentos/gatos/BR_FOR_CAT_VET_FUNCION_%20RENAL.webp,CDM,,
7,GATO,ALIMENTO SECO,DIETA SECA PRESCRITA,BOLSA,BR,BR FOR CAT VET GASTROINTESTINAL X 500 GR," $20,400.00 ",,,,,500 GR," $20,400.00 ",,300100092,https://www.velykapet.com/productos/alimentos/gatos/BR_FOR_CAT_VET_GASTROINTESTINAL.jpg,CDM,,
8,GATO,ALIMENTO SECO,DIETA SECA PRESCRITA,BOLSA,BR,BR FOR CAT VET GASTROINTESTINAL X 1.5 KG," $58,200.00 ",,,,,1.5 KG," $58,200.00 ",,300100093,https://www.velykapet.com/productos/alimentos/gatos/BR_FOR_CAT_VET_GASTROINTESTINAL.jpg,CDM,,
9,GATO,ALIMENTO SECO,DIETA SECA PRESCRITA,BOLSA,BR,BR FOR CAT VET GASTROINTESTINAL X 3KG," $110,800.00 ",,,,,3 KG," $110,800.00 ",,300100094,https://www.velykapet.com/productos/alimentos/gatos/BR_FOR_CAT_VET_GASTROINTESTINAL.jpg,CDM,,
10,GATO,ALIMENTO SECO,DIETA SECA PRESCRITA,BOLSA,BR,BR FOR CAT VET SENSIBLE X 500 GR," $20,400.00 ",,,,,500 GR," $20,400.00 ",,300100104,https://www.velykapet.com/productos/alimentos/gatos/BR_FOR_CAT_VET_SENSIBLE.jpg,CDM,,
11,GATO,ALIMENTO SECO,DIETA SECA PRESCRITA,BOLSA,BR,BR FOR CAT VET SENSIBLE X 1.5 KG," $58,200.00 ",,,,,1.5 KG," $58,200.00 ",,300100105,https://www.velykapet.com/productos/alimentos/gatos/BR_FOR_CAT_VET_SENSIBLE.jpg,CDM,,
12,GATO,ALIMENTO SECO,DIETA SECA PRESCRITA,BOLSA,BR,BR FOR CAT VET SENSIBLE X 3KG," $110,800.00 ",,,,,3 KG," $110,800.00 ",,300100106,https://www.velykapet.com/productos/alimentos/gatos/BR_FOR_CAT_VET_SENSIBLE.jpg,CDM,,
13,GATO,ALIMENTO SECO,DIETA SECA PRESCRITA,BOLSA,BR,BR FOR CAT VET HEPATICO X 500 GR," $19,900.00 ",,,,,500 GR," $19,900.00 ",,300100098,https://www.velykapet.com/productos/alimentos/gatos/BR_FOR_CAT_VET_HEPATICO.jpg,CDM,,
14,GATO,ALIMENTO SECO,DIETA SECA PRESCRITA,BOLSA,BR,BR FOR CAT VET HEPATICO X 1.5 KG," $57,000.00 ",,,,,1.5 KG," $57,000.00 ",,300100099,https://www.velykapet.com/productos/alimentos/gatos/BR_FOR_CAT_VET_HEPATICO.jpg,CDM,,
15,GATO,ALIMENTO SECO,DIETA SECA PRESCRITA,BOLSA,BR,BR FOR CAT VET HEPATICO X 3 KG," $108,500.00 ",,,,,3 KG," $108,500.00 ",,300100100,https://www.velykapet.com/productos/alimentos/gatos/BR_FOR_CAT_VET_HEPATICO.jpg,CDM,,
